名前,淡いライバーカラー,濃いライバーカラー,超濃いライバーカラー,淡いサブカラー,濃いサブカラー,ライバー文字色,サブ文字色,VtL,卒業,読み,完全読み,メモ
Meloco Kyoran,#A09BD8,#A09BD8,#A09BD8,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Ver Vermillion,#D5345E,#D5345E,#D5345E,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Kotoka Torahime,#DC6B9A,#DC6B9A,#DC6B9A,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
Yu Q. Wilson,#F5EB28,#F5EB28,#F5EB28,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,ヒーロー,
Vantacrow Bringer,#8728E1,#8728E1,#8728E1,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,ヒーロー,
Vezalius Bandage,#C34196,#C34196,#C34196,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,ヒーロー,
Claude Clawmark,#7D3CAF,#7D3CAF,#7D3CAF,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Victoria Brightshield,#D7D2EB,#D7D2EB,#D7D2EB,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
Kunai Nakasato,#3C6E64,#3C6E64,#3C6E64,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
Ryoma Barrenwort,#952D22,#952D22,#952D22,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Klara Charmwood,#DFCDBF,#DFCDBF,#DFCDBF,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Zeal Ginjoka,#007328,#007328,#007328,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Freodore,#AA0037,#AA0037,#AA0037,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Seible,#0A44AA,#0A44AA,#0A44AA,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Kaelix Debonair,#CDCD00,#CDCD00,#CDCD00,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
