曲名,サムネ用リンク,MVリンク,フル尺リンク,MV公開,3Dリンク,3Dリンク2,公開日,ユニット,歌唱,歌唱2,歌唱3,男女,外部,箱内カバー,全体曲,ライバー自身が制作（作曲・イラスト等）,備考,備考2,備考3,備考4,踊ろう！,振付リンク,振付リンク2,振付リンク3,オンラインライブ等で披露済,カラオケ（DAM）,カラオケ（JOYSOUND）,フィジカルCDリリース,デジタルリリース,サブスクリンク,独特なコーレス,3D配信リンク2,3D配信リンク3,メモ2,Shortsリンク,その他リンク,その他2,その他3,説明1,メモ3,BPM,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・キラキラ,ハッピー・ポジティブ,ポップな,可愛い,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,アンニュイ・ネガティブ,神秘的・幻想的,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用,
Vital-バイタル-,https://youtu.be/BMBK0qEtPTw?si=MJSNTk0i2CpeW4hX,https://youtu.be/BMBK0qEtPTw?si=MJSNTk0i2CpeW4hX,,TRUE,,,2019/11/30,,物述有栖、ギルザレンIII世、ドーラ、花畑チャイカ、飛鳥ひな、でびでび・でびる、町田ちま、夢追翔、黒井しば、あくまのゴート、朝霞しお、天城てん、歌衣アズミ、歌衣メイカ、歌衣イツミ、家庭用ロボットアイゼン、粛正罰丸、白上フブキ、白鷺ネクロ、白百合リリィ、天開司、夏色まつり、ぴろぱる、星月せい、皆守ひいろ、ユキミお姉ちゃん、レンチ,,,男女混合,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
Radical Rabid Riot,https://youtu.be/OKvqOqZmct4?si=VKwW3NUrYggacCAC,,https://youtu.be/qFaxgTor3-U?si=L9UeHwBFm0aH2IX_,FALSE,,,2020/03/18,RRR,竜胆尊、鷹宮リオン、ジョー・力一,,,男女混合,FALSE,FALSE,FALSE,FALSE,アルバム：SMASH The PAINT!!,,,,,,,,,,,TRUE,TRUE,https://linkco.re/TxuQX8Xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
3倍！Sun Shine！カーニバル！,https://youtu.be/6c2-2SfEUQI?si=d9hGnEZxU4aaqcNJ,,https://youtu.be/wsQ7mEqilYk?si=2T55FEY73FbkCzjf,FALSE,,,2020/03/18,さんばか,アンジュ・カトリーナ、戌亥とこ、リゼ・ヘルエスタ,,,女性ユニット,FALSE,FALSE,FALSE,FALSE,アルバム：SMASH The PAINT!!,,,,,,,,,,,TRUE,TRUE,https://linkco.re/TxuQX8Xc,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
Not For You,https://youtu.be/ppKMVPpdcE0?si=XJv3Xp6wfvUhxew1,,https://youtu.be/mWamgd_fzUE?si=e2Bn94eUpOZnx2mC,FALSE,,,2020/03/18,ChroNoiR,叶、葛葉,,,男性ユニット,FALSE,FALSE,FALSE,FALSE,アルバム：SMASH The PAINT!!,,,,,,,,,,,TRUE,TRUE,https://linkco.re/TxuQX8Xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
１＋１でQ.E.D.！！,https://youtu.be/qSzpngdt2fE?si=J2m8qEvOHxnB2KJF,,https://youtu.be/QaiRduRn6bk?si=zpVPT1BtEcevEFbu,FALSE,,,2020/03/18,がぶりえら,御伽原江良、童田明治,,,女性ユニット,FALSE,FALSE,FALSE,FALSE,アルバム：SMASH The PAINT!!,,,,,,,,,,,TRUE,TRUE,https://linkco.re/TxuQX8Xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
青春モード！もう１回！！,https://youtu.be/tN94qnOls6Y?si=0w0HU8LcO7HwI_Kb,,https://youtu.be/vbVm943TzjY?si=L6veHm969QLNZ5RO,FALSE,,,2020/03/18,,本間ひまわり,,,女性ソロ,FALSE,FALSE,FALSE,FALSE,アルバム：SMASH The PAINT!!,,,,,,,,,,,TRUE,TRUE,https://linkco.re/TxuQX8Xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
サンデーサンデー・フルーツフール,https://youtu.be/fxKBvhrpFpI?si=-rzSFSZXbSNnWeFk,,https://youtu.be/a6GF9-y-hM0?si=R_dG9qSZWEn9IxGF,FALSE,,,2020/03/18,éclair,える、シスター・クレア,,,女性ユニット,FALSE,FALSE,FALSE,FALSE,アルバム：SMASH The PAINT!!,,,,,,,,,,,TRUE,TRUE,https://linkco.re/TxuQX8Xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
Playtime Magic,https://youtu.be/ERp3QIg9KhA?si=GzxbRnNdIXLuVsZP,,https://youtu.be/ktCH0cefUVM?si=zVGA1YU8rIDMozgg,FALSE,,,2020/03/18,le jouet,加賀美ハヤト、夢追翔、緑仙,,,"男女混合, 男性ユニット",FALSE,FALSE,FALSE,FALSE,アルバム：SMASH The PAINT!!,,,,,,,,,,,TRUE,TRUE,https://linkco.re/TxuQX8Xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
圧　倒　的　存　在　感,https://youtu.be/kyxSZovr9fY?si=ufEOhgpcZ4XbvxZS,,https://youtu.be/1tyl7XLhDMs?si=KPnpK2IupF1ILV_f,FALSE,,,2020/03/18,でびるる,鈴原るる、でびでび・でびる,,,"女性ユニット, 男女混合",FALSE,FALSE,FALSE,FALSE,アルバム：SMASH The PAINT!!,,,,,,,,,,,TRUE,TRUE,https://linkco.re/TxuQX8Xc,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
煽動海獣ダイパンダ,https://youtu.be/ST1CTF451PI?si=iKh-tdJljULey60A,,https://youtu.be/lyUebJbuLdI?si=HvtjFhcw4gs9QImM,FALSE,,,2020/03/18,,笹木咲,,,女性ソロ,FALSE,FALSE,FALSE,FALSE,アルバム：SMASH The PAINT!!,,,,,,,,,,,TRUE,TRUE,https://linkco.re/TxuQX8Xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
