名前,枠ライバーカラー,ライバー文字色,淡いライバーカラー,濃いライバーカラー,グラデライバーカラー,超濃いライバーカラー,グラデ文字色,はてなサブカラー,プルダウンサブカラー,線サブカラー,サブ文字色,VtL,甲斐田,卒業,読み,完全読み,ユニット読み,メモ,
えま★おうがすと,#B32F51,#FFFFFF,#B32F51,#B32F51,#683e51,#44445f,#FFFFFF,#ee246f,#ee246f,#44445f,#FFFFFF,「行こう！」,FALSE,FALSE,えま★おうがすと えま おうがすと emma august ●●★●●●●●,,赤の組織 あかのそしき,,
ルイス・キャミー,#E86A74,#FFFFFF,#E86A74,#E86A74,#393236,#393237,#FFFFFF,#f7e083,#f7e083,#de1d39,#FFFFFF,「行こう！」,FALSE,FALSE,ルイス・キャミー ルイス キャミー るいす きゃみー Luis Cammy,,赤の組織 あかのそしき,,
魔使マオ,#C93965,#FFFFFF,#C93965,#C93965,#e8769a,#333534,#FFFFFF,#e8769a,#9a273e,#9a273e,#FFFFFF,「行こう！」,FALSE,FALSE,魔使マオ 魔使 マオ まつかい まお matsukai mao,,赤の組織 あかのそしき,,
不破湊,#BF69F4,#FFFFFF,#BF69F4,#938da1,#3b2f61,#d83e79,#FFFFFF,#753e94,#8adfb6,#8adfb6,#FFFFFF,「行こう！」,TRUE,FALSE,不破湊 不破 湊 ふわ みなと fuwa minato ふわっち ふわみなと,ホスト,ROF-MAO ろふまお VACHSS ばっくす バックス 夜王国 ナイトキングダム やおうこく ないときんぐだむ,,
白雪巴,#6E3FE7,#FFFFFF,#6E3FE7,#6E3FE7,#bd1584,#bd1584,#FFFFFF,#e7d78a,#e7d78a,#e7d78a,#FFFFFF,「行こう！」,FALSE,FALSE,白雪巴 白雪 巴 しらゆき ともえ shirayuki tomoe,,夜王国 ナイトキングダム やおうこく ないときんぐだむ,,
グウェル・オス・ガール,#F04B2D,#FFFFFF,#F04B2D,#F04B2D,#78554a,#78554a,#FFFFFF,#4dccf9,#4dccf9,#4dccf9,#FFFFFF,「行こう！」,TRUE,TRUE,グウェル・オス・ガール グウェル オス ガール ぐうぇる おす がーる Gwelu Os Gar‬,エルフ,夜王国 ナイトキングダム やおうこく ないときんぐだむ,,
ましろ爻,#1E2232,#FFFFFF,#1E2232,#1E2232,#91190f,#91190f,#FFFFFF,#e1b668,#e1b668,#f03d3a,#FFFFFF,「行こう！」,FALSE,FALSE,ましろ爻 ましろ 爻 めめ mashiro meme,,まななつ,,
来栖夏芽,#8AD1EF,#FFFFFF,#8AD1EF,#7faccd,#5f75a2,#5f75a2,#FFFFFF,#880223,#c62c2e,#c62c2e,#FFFFFF,「行こう！」,FALSE,FALSE,来栖夏芽 来栖 夏芽 くるす なつめ kurusu natsume なちゅめ,,まななつ,,
フレン・E・ルスタリオ,#EC1D2F,#FFFFFF,#EC1D2F,#EC1D2F,#fc5675,#83583d,#FFFFFF,#394d80,#49729d,#394d80,#FFFFFF,「行こう！」,TRUE,FALSE,フレン・E・ルスタリオ フレン E ルスタリオ ふれん いー るすたりお Furen E Lustario,女騎士,▽▲TRiNITY▲▽ とりにてぃー トリニティー メイフ めいふ,,
メリッサ・キンレンカ,#D3F377,#FFFFFF,#D3F377,#afdb2b,#eb867b,#eb867b,#FFFFFF,#605b71,#eb867b,#605b71,#FFFFFF,「行こう！」,TRUE,TRUE,メリッサ・キンレンカ メリッサ キンレンカ めりっさ きんれんか Melissa Kinrenka メリー めりー,,メイフ めいふ,,
イブラヒム,#7CA1F0,#FFFFFF,#7CA1F0,#7CA1F0,#6d88b0,#6d88b0,#FFFFFF,#bfa071,#e9df64,#5e352e,#FFFFFF,「行こう！」,FALSE,FALSE,イブラヒム いぶらひむ Ibrahim ヒム ひむ,,メイフ めいふ,,
長尾景,#625DA1,#FFFFFF,#625DA1,#625DA1,#8140b0,#8140b0,#FFFFFF,#95becf,#95becf,#333534,#FFFFFF,「行こう！」,TRUE,FALSE,長尾景 ながお けい ケイナガオ kei nagao 景 ながおけい,祓魔師,VΔLZ ばるつ ゔぁるつ めにまにカンパニー めにまにかんぱにー めにまに,,
弦月藤士郎,#B43246,#FFFFFF,#B43246,#B43246,#5b223f,#5b223f,#FFFFFF,#c4ccd2,#c4ccd2,#99a0c8,#FFFFFF,「行こう！」,TRUE,FALSE,弦月藤士郎 藤士郎 げんづき とうじろう genzuki tojiro genduki toziro touzirou おげん,官吏,VΔLZ ばるつ ゔぁるつ こじらせハラスメント こじハラ こじはら こじらせはらすめんと,,
甲斐田晴,#4DD7E3,#FFFFFF,#4DD7E3,#4DD7E3,#383e3c,#22a2bf,#FFFFFF,#882d37,#ffff8e,#bca649,#FFFFFF,「行こう！」,FALSE,FALSE,甲斐田晴 晴 かいだ はる kaida haru,研究者,VΔLZ ばるつ ゔぁるつ ROF-MAO ろふまお,,
空星きらめ,#44DDF4,#FFFFFF,#44DDF4,#44DDF4,#2ea9eb,#2ea9eb,#FFFFFF,#f1d621,#f1d621,#2582f0,#FFFFFF,「行こう！」,FALSE,FALSE,空星きらめ きらめ そらほし sorahoshi sorahosi kirame きらーめ,,,,
朝日南アカネ,#B7282E,#FFFFFF,#B7282E,#B7282E,#c64958,#631315,#FFFFFF,#69c5cd,#69c5cd,#339db2,#FFFFFF,「行こう！」,FALSE,TRUE,朝日南 アカネ あさひな あかね asahina akane あーこ,,Nornis のるにす ノルニス 世怜音女学院演劇同好会 セレじょ せれじょ,,
周央サンゴ,#EF8468,#FFFFFF,#EF8468,#EF8468,#fec4cb,#b92f62,#FFFFFF,#686fea,#9793e6,#686fea,#FFFFFF,「行こう！」,FALSE,FALSE,周央サンゴ サンゴ すおう さんご 周防 suo sango ンゴ んご ngo,,世怜音女学院演劇同好会 セレじょ せれじょ,,
東堂コハク,#EA930A,#FFFFFF,#EA930A,#EA930A,#c28c79,#5f8c66,#FFFFFF,#7e82b8,#f8e6bc,#7e82b8,#FFFFFF,「行こう！」,FALSE,FALSE,東堂コハク コハク とうどう こはく todo toudou kohaku コハック こはっく,,チームIDD IDD 世怜音女学院演劇同好会 セレじょ せれじょ,,
北小路ヒスイ,#38B48B,#FFFFFF,#38B48B,#38B48B,#6ad0e2,#4d4a59,#FFFFFF,#f2813a,#f2813a,#f2813a,#FFFFFF,「行こう！」,FALSE,FALSE,北小路ヒスイ ヒスイ きたこうじ ひすい kitakoji kitakozi kitakouji kitakouzi ひすぴ ヒスピ,,世怜音女学院演劇同好会 セレじょ せれじょ,,
西園チグサ,#3A8FB7,#FFFFFF,#3A8FB7,#3A8FB7,#547ecb,#547ecb,#FFFFFF,#e13176,#c5c3cd,#e13176,#FFFFFF,「行こう！」,FALSE,FALSE,西園チグサ チグサ にしぞの ちぐさ nishizono nisizono chigusa tigusa おちぐ ちぐちゃん,,世怜音女学院演劇同好会 セレじょ せれじょ,,
アクシア・クローネ,#00A6FE,#FFFFFF,#00A6FE,#00A6FE,#395690,#395690,#FFFFFF,#3b3c45,#7cd6e1,#3b3c45,#FFFFFF,「行こう！」,FALSE,TRUE,アクシア・クローネ アクシア クローネ あくしあ くろーね Axia Krone,,エデン組 えでんぐみ,,
ローレン・イロアス,#C10E49,#FFFFFF,#C10E49,#C10E49,#57585e,#57585e,#FFFFFF,#01ada9,#01ada9,#2a2d35,#FFFFFF,「行こう！」,TRUE,FALSE,ローレン イロアス ろーれん いろあす Lauren Iroas ろれ ロレ,,エデン組 えでんぐみ,,
レオス・ヴィンセント,#234A87,#FFFFFF,#234A87,#234A87,#32aaa1,#32aaa1,#FFFFFF,#775993,#BB7CC4,#775993,#FFFFFF,「行こう！」,TRUE,FALSE,レオス ヴィンセント れおす ゔぃんせんと Leos Vincent,,エデン組 えでんぐみ,,
オリバー・エバンス,#BCC37E,#FFFFFF,#BCC37E,#808d68,#505e40,#505e40,#FFFFFF,#e9b800,#e9b800,#917b67,#FFFFFF,「行こう！」,FALSE,FALSE,オリバー エバンス おりばー えばんす Oliver Evans,教授 先生 プロフェッサー,エデン組 えでんぐみ,,
レイン・パターソン,#F74848,#FFFFFF,#F74848,#F74848,#7a4c4c,#ad3a35,#FFFFFF,#969781,#c7bcc1,#646172,#FFFFFF,「行こう！」,FALSE,FALSE,レイン パターソン れいん ぱたーそん Lain Paterson,ボディーガード,チームIDD IDD エデン組 えでんぐみ,,
天ヶ瀬むゆ,#FA5578,#FFFFFF,#FA5578,#FA5578,#ce1635,#ce1635,#FFFFFF,#c14d9f,#fe96bb,#1ea6b7,#FFFFFF,「行こう！」,FALSE,FALSE,天ヶ瀬むゆ 天ヶ瀬 むゆ あまがせ awagase muyu むゆち,天ヶ瀬夢癒,Ranunculusラナンキュラス らなんきゅらす らなきゅら,,
先斗寧,#5A7DFF,#FFFFFF,#5A7DFF,#5A7DFF,#7a78a4,#685ffb,#FFFFFF,#e8340c,#dbd3d1,#7a78a4,#FFFFFF,「行こう！」,FALSE,FALSE,先斗寧 先斗 寧 ぽんと ねい ponto nei,,Ranunculusラナンキュラス らなんきゅらす らなきゅら,,
海妹四葉,#FFE632,#675189,#FFE632,#f6d05b,#Fd773e,#Fd773e,#FFFFFF,#b369d4,#dccafa,#b369d4,#FFFFFF,「行こう！」,TRUE,FALSE,海妹四葉 海妹 四葉 うみせ よつは umise yotsuha はぴ よつはぴ,,チームIDD IDD Ranunculusラナンキュラス らなんきゅらす らなきゅら,,
壱百満天原サロメ,#CD3796,#FFFFFF,#CD3796,#CD3796,#a27cc9,#bb3658,#FFFFFF,#d8e481,#d8e481,#a27cc9,#FFFFFF,「行こう！」,FALSE,FALSE,壱百満天原サロメ 壱百満天原 サロメ ひゃくまんてんばら さろめ,,,,
風楽奏斗,#4f5090,#4f5090,#F0F0F5,#9494a3,#7a8adf,#6d6d70,#FFFFFF,#FAD246,#FAD246,#FAD247,#FFFFFF,「行こう！」,TRUE,FALSE,風楽奏斗 奏斗 ふうら かなと fura huura kanato KNT,,VOLTACTION ゔぉるたくしょん ヴォルタクション ゔぉるた ヴォルタ,,
渡会雲雀,#192332,#FFFFFF,#192332,#192332,#845a8c,#845a8c,#FFFFFF,#CD3764,#845a8c,#CD3764,#FFFFFF,「行こう！」,TRUE,FALSE,渡会雲雀 雲雀 わたらい ひばり watarai hibari ひば ばり,,VOLTACTION ゔぉるたくしょん ヴォルタクション ゔぉるた ヴォルタ,,
四季凪アキラ,#235AAA,#FFFFFF,#235AAA,#235AAA,#736bf6,#0e354a,#FFFFFF,#821e4e,#6da4f7,#821e4e,#FFFFFF,「行こう！」,TRUE,FALSE,四季凪 アキラ しきなぎ あきら shikinagi akira なぎ 凪,四季凪聖来,VOLTACTION ゔぉるたくしょん ヴォルタクション ゔぉるた ヴォルタ,,
セラフ・ダズルガーデン,#DC3C41,#FFFFFF,#DC3C41,#DC3C41,#ea9f9d,#44464a,#FFFFFF,#004099,#ea9f9d,#004099,#FFFFFF,「行こう！」,TRUE,FALSE,セラフ・ダズルガーデン セラフダズルガーデン ダズルガーデン せらふ だずるがーでん がーでんSeraph Dazzlegarden,美園聡,VOLTACTION ゔぉるたくしょん ヴォルタクション ゔぉるた ヴォルタ,,
タカ・ラジマン,#303764,#FFFFFF,#303764,#303764,#3a47b9,#3a47b9,#FFFFFF,#703d3c,#b5956e,#ae0970,#FFFFFF,「行こう！」,FALSE,TRUE,タカ・ラジマン タカ ラジマン たか らじまん Taka Radjiman,,,,
ゼア・コルネリア,#FBEC5D,#5b4847,#FBEC5D,#f18e0f,#e1fb2c,#67646a,#5b4847,#e1fb2c,#e1fb2c,#67646a,#FFFFFF,「行こう！」,FALSE,TRUE,ゼア・コルネリア ゼア コルネリア ぜあ こるねりあ ZEA Cornelia,,,,
ハナ・マキア,#5a352c,#5a352c,#FFEFD5,#a96f59,#a7595d,#5a352c,#FFFFFF,#d03533,#cf9867,#d03533,#FFFFFF,「行こう！」,FALSE,FALSE,ハナ・マキア ハナ マキア はな まきあ Hana Macchia,,,,
ライ・ガリレイ,#7DF9FF,#02a7be,#7DF9FF,#00c6d6,#e34aab,#e34aab,#FFFFFF,#3e4fe0,#e34aab,#3e4fe0,#FFFFFF,「行こう！」,FALSE,FALSE,ライ・ガリレイ ライ ガリレイ らい がりれい Rai Galilei,,,,
アミシア・ミシェラ,#45E101,#FFFFFF,#45E101,#53b785,#387fb5,#297a4c,#FFFFFF,#387fb5,#fcd6aa,#a57154,#FFFFFF,「行こう！」,FALSE,TRUE,アミシア・ミシェラ アミシア ミシェラ あみしあ みしぇら Amicia Michella,,,,
ミユ・オッタフィア,#FFAB75,#FFFFFF,#FFAB75,#936a64,#b03f60,#b03f60,#FFFFFF,#51904a,#cecabf,#51904a,#FFFFFF,「行こう！」,FALSE,TRUE,ミユ・オッタフィア ミユ オッタフィア オッタヴィア みゆ おったふぃあ おっだゔぃあ Miyu Ottavia,,,,
リクサ・ディレンドラ,#FF0103,#FFFFFF,#FF0103,#FF0103,#7552a4,#7552a4,#FFFFFF,#30aba4,#f06ca8,#30aba4,#FFFFFF,「行こう！」,FALSE,TRUE,リクサ・ディレンドラ リクサ ディレンドラ りくさ でぃれんどら Riksa Dhirendra,,,,
アズラ・セシリア,#1B486F,#FFFFFF,#1B486F,#1B486F,#addbe8,#5f83e3,#FFFFFF,#f6c0d0,#fc8e3c,#f6c0d0,#FFFFFF,「行こう！」,FALSE,TRUE,アズラ・セシリア アズラ セシリア あずら せしりあ Azura Cecillia,,,,
ナラ・ハラマウン,#26C2CD,#FFFFFF,#26C2CD,#26C2CD,#2a7983,#615056,#FFFFFF,#eb9f4d,#FEA191,#eb9f4d,#FFFFFF,「行こう！」,FALSE,TRUE,ナラ・ハラマウン ナラ ハラマウン なら はらまうん Nara Haramaung,,めにまにカンパニー めにまにかんぱにー めにまに,,
ライラ・アルストロエメリア,#F78181,#FFFFFF,#F78181,#F78181,#F9CACA,#ab2c46,#FFFFFF,#909dbf,#F9CACA,#909dbf,#FFFFFF,「行こう！」,FALSE,FALSE,ライラ・アルストロエメリア ライラ アルストロエメリア らいら あるすとろえめりあ Layla Alstroemeria,,,,
エトナ・クリムソン,#DC143C,#FFFFFF,#DC143C,#DC143C,#ff6f19,#ff6f19,#FFFFFF,#007c5e,#f9460f,#007c5e,#FFFFFF,「行こう！」,FALSE,FALSE,エトナ・クリムソン エトナ クリムソン えとな くりむそん Etna Crimson,元ヒーロー 半超人,,,
ボンニフィエール・プラナジャ,#00FFCD,#00896e,#00FFCD,#2ab1b0,#046670,#046670,#FFFFFF,#a29a7a,#88706c,#88706c,#FFFFFF,「行こう！」,FALSE,TRUE,ボンニフィエール・プラナジャ ボンニフィエール プラナジャ ぼんにふぃえーる ぷらなじゃ Bonnivier Pranaja ボボン ぼぼん,,,,
シスカ・レオンタイン,#FFDFA0,#FFFFFF,#FFDFA0,#FF9e2e,#FF9e2e,#3d3935,#FFFFFF,#5f68c5,#787480,#5f68c5,#FFFFFF,「行こう！」,FALSE,TRUE,シスカ・レオンタイン シスカ レオンタイン しすか れおんたいん Siska Leontyne,,,,
ナギサ・アルシニア,#CC338B,#FFFFFF,#CC338B,#CC338B,#f07de6,#681c3f,#FFFFFF,#41e148,#f07de6,#41e149,#FFFFFF,「行こう！」,FALSE,FALSE,ナギサ・アルシニア ナギサ アルシニア なぎさ あるしにあ Nagisa Arcinia,,,,
デレム・カド,#F6D4DF,#FFFFFF,#F6D4DF,#Fc5ab0,#974e6c,#974e6c,#FFFFFF,#f39bdb,#98daef,#974e6c,#FFFFFF,「行こう！」,FALSE,FALSE,デレム・カド デレム カド でれむ かど Derem Kado,,,,
レザ・アファンルナ,#765CB8,#FFFFFF,#765CB8,#765CB8,#df6aee,#df6aee,#FFFFFF,#5f83a0,#616160,#616160,#FFFFFF,「行こう！」,FALSE,TRUE,レザ・アファンルナ レザ アファンルナ れざ あふぁんるな Reza Avanluna,,,,
ヒョナ・エラティオラ,#800020,#FFFFFF,#800020,#800020,#f3b735,#65574c,#FFFFFF,#ea6411,#dadad8,#ea6411,#FFFFFF,「行こう！」,FALSE,TRUE,ヒョナ・エラティオラ ヒョナ エラティオラ ひょな えらてぃおら Hyona Elatiora,,,,
シア・エカフィラ,#F2F680,#ddb64b,#F2F680,#c3b309,#c3b309,#ed5a3a,#FFFFFF,#9b9a9d,#9b9a9d,#0b4b9d,#FFFFFF,「行こう！」,FALSE,TRUE,シア・エカフィラ シア エカフィラ しあ えかふぃら Xia Ekavira,,,,
ミカ・メラティカ,#DDBFF8,#FFFFFF,#DDBFF8,#a179c8,#a179c8,#4d4c5f,#FFFFFF,#983b29,#4d4c5f,#4d4c5f,#FFFFFF,「行こう！」,FALSE,TRUE,ミカ・メラティカ ミカ メラティカ みか めらてぃか Mika Melatika,,,,
ミン・スゥーハ,#5AC8FF,#FFFFFF,#5AC8FF,#5AC8FF,#1bba8a,#1bba8a,#FFFFFF,#e55846,#e55846,#ab5f47,#FFFFFF,「行こう！」,FALSE,FALSE,ミン・スゥーハ ミン スゥーハ みん すぅーは スハ すは 민수하 Min Suha ミンスゥーハ ミンスハ みんすぅーは みんすは,,,,
ガオン,#F9E072,#FFFFFF,#F9E072,#df8f4a,#3d3e49,#3d3e49,#FFFFFF,#c22013,#6476a6,#3d3e49,#FFFFFF,「行こう！」,FALSE,FALSE,ガオン がおん 가온 Gaon,,,,
ハン・チホ,#645E5D,#FFFFFF,#645E5D,#645E5D,#46d1fc,#443735,#FFFFFF,#b12100,#f0cd82,#f0cd82,#FFFFFF,「行こう！」,FALSE,TRUE,ハン・チホ ハンチホ ハン チホ はん ちほ 한치호 韓淄蝴 Han Chiho はんちほ,,,,
ソ・ナギ,#7C86DE,#FFFFFF,#7C86DE,#7C86DE,#403667,#403667,#FFFFFF,#e1bdbb,#e1bdbb,#c8a0a2,#FFFFFF,「行こう！」,FALSE,FALSE,ソ・ナギ ソナギ ソ ナギ そ なぎ So Nagi 소나기 そなぎ,,,,
イ・シウ,#811528,#FFFFFF,#811528,#811528,#e8acc0,#cc0a28,#FFFFFF,#bcb5c7,#bcb5c8,#332a3d,#FFFFFF,「行こう！」,FALSE,TRUE,イ・シウ イシウ いしう イ シウ い しう 이시우 Lee Siu,,,,
ヌン・ボラ,#ECBCFF,#FFFFFF,#ECBCFF,#d869a6,#766d97,#766d97,#FFFFFF,#79a9d7,#bccdeb,#79a9d7,#FFFFFF,「行こう！」,FALSE,TRUE,ヌン・ボラ ヌンボラ ヌン ボラ ぬんぼら ぬん ぼら 눈보라 Nun Bora,,,,
明楽レイ,#A9CEEC,#FFFFFF,#A9CEEC,#60b2d4,#3a7eae,#3a7eae,#FFFFFF,#fa89bb,#f4cb7b,#cd557a,#FFFFFF,「行こう！」,FALSE,FALSE,明楽レイ 明楽 レイ あきら れい 아키라레이 akira ray,,,,
イ・ロハ,#91656a,#91656a,#FDFF7A,#EC399B,#ab787e,#ab787e,#FFFFFF,#EC399B,#f0c057,#822365,#FFFFFF,「行こう！」,FALSE,FALSE,イ・ロハ イロハ いろは イ ロハ い ろは 이로하 Lee Roha,,,,
ヤン・ナリ,#FAD1D6,#FFFFFF,#FAD1D6,#Ffb2c9,#f973a7,#f973a7,#FFFFFF,#ffed7a,#FFF8C8,#80c7e6,#FFFFFF,「行こう！」,FALSE,FALSE,ヤン・ナリ ヤンナリ ヤン ナリ やんなり やん なり 양나리 Yang Nari,,,,
リュ・ハリ,#96CEEB,#FFFFFF,#96CEEB,#96CEEB,#7c77b2,#7c77b2,#FFFFFF,#50d1eb,#50d1eb,#6d7076,#FFFFFF,「行こう！」,FALSE,FALSE,リュ・ハリ リュハリ りゅはり リュ ハリ りゅ はり 류하리 Ryu Hari,,,,
シン・ギル,#B0C4C7,#FFFFFF,#B0C4C7,#659ea8,#2a5868,#2a5868,#FFFFFF,#cbb76b,#b8a59e,#cbb76b,#FFFFFF,「行こう！」,FALSE,TRUE,シン・ギル シン ギル シンギル しんぎる しん ぎる 신기루 Shin Kiru,,,,
オ・ジユ,#3f9595,#3f9595,#F1F4F4,#3f9595,#47768a,#47768a,#FFFFFF,#b4673d,#b4673d,#e9b570,#FFFFFF,「行こう！」,FALSE,FALSE,オ・ジユ オジユ オ ジユ お じゆ おじゆ Oh Jiyu 오지유,,,,
セフィナ,#C92235,#FFFFFF,#C92235,#C92235,#ffafad,#a62d24,#FFFFFF,#fec45a,#fec45a,#fec45a,#FFFFFF,「行こう！」,FALSE,FALSE,Seffyna セフィナ せふぃな フィナ ふぃな,,めにまにカンパニー めにまにかんぱにー めにまに,,
バン・ハダ,#DDBC0B,#FFFFFF,#DDBC0B,#5497a9,#786f6e,#4077b7,#FFFFFF,#5497a9,#b2c9cd,#786f6e,#FFFFFF,「行こう！」,FALSE,TRUE,バン・ハダ バン ハダ バンハダ ばんはだ ばん はだ 반하다 Ban Hada,,,,
ハ・ユン,#B14D4D,#FFFFFF,#B14D4D,#B14D4D,#d3354d,#d3354d,#FFFFFF,#fcdc86,#e6ab8f,#e6ab8f,#FFFFFF,「行こう！」,FALSE,FALSE,ハ・ユン ハ ユン ハユン はゆん は ゆん 하윤 Ha Yun,,,,
ナ・セラ,#FEECF3,#fa519b,#FEECF3,#c9b3dc,#fa519b,#fa519b,#FFFFFF,#c4e9ff,#c4e9ff,#c4e9ff,#FFFFFF,「行こう！」,FALSE,FALSE,ナ・セラ ナセラ ナ セラ な せら なせら Na Sera 나세라,,,,
小清水透,#CDA5FF,#FFFFFF,#CDA5FF,#CDA5FF,#8082be,#8082be,#FFFFFF,#bae2f8,#bae2f8,#8aa3d4,#FFFFFF,「行こう！」,FALSE,FALSE,小清水透 小清水 透 こしみず とおる koshimizu toru しーちゃん,,Idios イディオス いでぃおす,,
獅子堂あかり,#FFD728,#FFFFFF,#FFD728,#FFD728,#ef8f7a,#ef8f7a,#FFFFFF,#aad175,#aad175,#aad175,#FFFFFF,「行こう！」,FALSE,FALSE,獅子堂あかり 獅子堂 あかり ししどう shishidou akari あかぴゃ うぉうぉ,,Idios イディオス いでぃおす,,
鏑木ろこ,#198CAA,#FFFFFF,#198CAA,#198CAA,#1a3458,#1a3458,#FFFFFF,#efea54,#efea54,#c6fb74,#FFFFFF,「行こう！」,FALSE,FALSE,鏑木ろこ 鏑木 ろこ かぶらき kaburaki roko ろってぃ,,Idios イディオス いでぃおす,,
五十嵐梨花,#FF8C3C,#FFFFFF,#FF8C3C,#FF8C3C,#d77868,#d77868,#FFFFFF,#94cfbf,#94cfbf,#63c0ab,#FFFFFF,「行こう！」,FALSE,FALSE,五十嵐梨花 五十嵐 梨花 いがらし りか igarashi rika りかしぃ,,Idios イディオス いでぃおす,,
石神のぞみ,#E6325F,#FFFFFF,#E6325F,#E6325F,#791540,#791540,#FFFFFF,#bbb1c1,#bbb1c1,#555656,#FFFFFF,「行こう！」,FALSE,FALSE,石神のぞみ 石神 のぞみ いしがみ ishigami nozomi,,Idios イディオス いでぃおす,,
ソフィア・ヴァレンタイン,#C8C3DC,#FFFFFF,#C8C3DC,#C8C3DC,#706b7a,#706b7a,#FFFFFF,#c1c0c0,#c1c0c0,#706b7a,#FFFFFF,「行こう！」,TRUE,FALSE,ソフィア・ヴァレンタイン ソフィア ヴァレンタイン そふぃあ ゔぁれんたいん sophia valentine,,Idios イディオス いでぃおす,,
倉持めると,#EB4682,#FFFFFF,#EB4682,#EB4682,#bd77cd,#bd77cd,#FFFFFF,#43bcc5,#43bcc5,#43bcc5,#FFFFFF,「行こう！」,FALSE,FALSE,倉持めると 倉持 めると くらもち kuramochi meruto めるち,,Idios イディオス いでぃおす,,
佐伯イッテツ,#8C4664,#FFFFFF,#8C4664,#8C4664,#d12982,#d12982,#FFFFFF,#555656,#ff528e,#555656,#FFFFFF,「行こう！」,FALSE,FALSE,佐伯イッテツ イッテツ いってつ さいき saiki ittetsu,佐伯一徹 ヒーロー 絶対的ヒーロー,Oriens オリエンス おりえんす MECHATU-A めちゃつえー メチャツエー HEROES ヒーローズ ひーろーず,-,
赤城ウェン,#FF8C9B,#FFFFFF,#FF8C9B,#FF8C9B,#db2031,#db2031,#FFFFFF,#9fd8ee,#9fd8ee,#52bcc0,#FFFFFF,「行こう！」,FALSE,FALSE,赤城ウェン あかぎ うぇん ウェン wen KPニキ ニキ けーぴー akagi,ヒーロー,Oriens オリエンス おりえんす MECHATU-A めちゃつえー メチャツエー HEROES ヒーローズ ひーろーず,,
宇佐美リト,#FAC31E,#FFFFFF,#FAC31E,#F18d00,#f87200,#f87200,#FFFFFF,#63c0ab,#63c0ab,#513428,#FFFFFF,「行こう！」,TRUE,FALSE,宇佐美リト リト うさみ りと usami rito,ヒーロー,Oriens オリエンス おりえんす MECHATU-A めちゃつえー メチャツエー HEROES ヒーローズ ひーろーず,,
緋八マナ,#64C8F0,#FFFFFF,#64C8F0,#64C8F0,#b6e1f5,#51a9e2,#FFFFFF,#f5e374,#f9f1e1,#ffcf3b,#FFFFFF,「行こう！」,TRUE,FALSE,緋八マナ マナ ひばち まな hibachi hibati mana,ヒーロー,Oriens オリエンス おりえんす MECHATU-A めちゃつえー メチャツエー HEROES ヒーローズ ひーろーず,,
星導ショウ,#A58CDC,#FFFFFF,#A58CDC,#A58CDC,#92d4e0,#5651a2,#FFFFFF,#90b4d7,#afcfe6,#afcfe6,#FFFFFF,「行こう！」,FALSE,FALSE,星導ショウ ほしるべ しょう hoshirube sho hosirube syo ショウ るべ しるべすた sylvestar タコ たこ 蛸,星導晶 ヒーロー 鑑定士,Dytica ディティカ でぃてぃか MECHATU-A めちゃつえー メチャツエー 紫男 むらさきだん  HEROES ヒーローズ ひーろーず,-,
叢雲カゲツ,#6EB487,#FFFFFF,#6EB487,#6EB487,#0f546d,#1f9868,#FFFFFF,#9c76a6,#9c76a6,#9c76a6,#FFFFFF,「行こう！」,FALSE,FALSE,叢雲カゲツ カゲツ むらくも かげつ nurakumo kagetsu 忍者,ヒーロー 忍者,Dytica ディティカ でぃてぃか MECHATU-A めちゃつえー メチャツエー HEROES ヒーローズ ひーろーず,,
小柳ロウ,#5A5FAA,#FFFFFF,#5A5FAA,#5A5FAA,#054996,#054996,#FFFFFF,#b0c0e3,#b0c0e3,#8d8668,#FFFFFF,「行こう！」,FALSE,FALSE,小柳ロウ ロウ こやなぎ ろう koyanagi rou,ヒーロー 白狼,Dytica ディティカ でぃてぃか MECHATU-A めちゃつえー メチャツエー HEROES ヒーローズ ひーろーず,,
伊波ライ,#DCFF50,#30364d,#DCFF50,#2068fb,#014099,#014099,#FFFFFF,#e10254,#e10254,#014099,#FFFFFF,「行こう！」,TRUE,FALSE,伊波ライ ライ いなみ らい inami rai いなみそ みそ メカニック,ヒーロー メカニック,Dytica ディティカ でぃてぃか MECHATU-A めちゃつえー メチャツエー HEROES ヒーローズ ひーろーず,-,
立伝都々,#C31E5A,#FFFFFF,#C31E5A,#C31E5A,#df528b,#df528b,#FFFFFF,#8FDED0,#8FDED0,#54beb1,#FFFFFF,「行こう！」,FALSE,FALSE,立伝都々 立伝 都々 たちつて とと tachitsute toto tatitute た行 たぎょう,バーサーカー,みたらし団 みたらしだん,,
栞葉るり,#2887FF,#FFFFFF,#2887FF,#2887FF,#0c36b2,#0c36b2,#FFFFFF,#f3dc41,#f3dc41,#d2b773,#FFFFFF,「行こう！」,TRUE,FALSE,栞葉るり 栞葉 るり しおりは shioriha ruri るりドッグ るり嬢,犬のおまわりさん 犬のお巡りさん 犬,みたらし団 みたらしだん,-,
ミラン・ケストレル,#2C35BD,#FFFFFF,#2C35BD,#2C35BD,#4469e3,#4469e3,#FFFFFF,#d2b773,#d2b773,#a9905f,#FFFFFF,「行こう！」,TRUE,FALSE,ミラン・ケストレル ミラン ケストレル みらん けすとれる milan kestrel,鬼伏千隼 時魔道士,みたらし団 みたらしだん 紫男 むらさきだん,,
