曲名,サムネ用リンク,MVリンク,フル尺リンク,MV公開,3Dリンク,3Dリンク2,公開日,ユニット,歌唱,歌唱2,歌唱3,男女,外部,箱内カバー,全体曲,ライバー自身が制作（作曲・イラスト等）,備考,備考2,備考3,備考4,踊ろう！,振付リンク,振付リンク2,オンラインライブ等で披露済,カラオケ（DAM）,カラオケ（JOYSOUND）,フィジカルCDリリース,デジタルリリース,サブスクリンク,独特なコーレス,3D配信リンク2,3D配信リンク3,メモ2,Shortsリンク,その他リンク,その他2,その他3,説明1,メモ3,BPM,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・キラキラ,ハッピー・ポジティブ,ポップな,可愛い,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,アンニュイ・ネガティブ,神秘的・幻想的,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用,
【Cover】Budding! （SitR名古屋）,https://youtu.be/0zXZmhBR8ik?si=G-m8nwdKoBIu5jVk,https://youtu.be/0zXZmhBR8ik?si=G-m8nwdKoBIu5jVk,,FALSE,,,2025/06/22,,緑仙、葉加瀬冬雪、長尾景、先斗寧、渡会雲雀、小清水透,,,男女混合,FALSE,TRUE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【Cover】Arc goes oN (Live ver Singin' in the Rainbow! at Nagoya),https://youtu.be/fJBfLGlWSI0?si=aoeUNkBDa_Qfx8_i,,,FALSE,,,2025/06/22,,緑仙、葉加瀬冬雪、長尾景、先斗寧、渡会雲雀、小清水透,,,男女混合,FALSE,TRUE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://nex-tone.link/A00183942,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【Cover】Hurrah!! / HEROES,https://youtu.be/OCU4UgBBwJ4?si=p_cCF23D3kaCQ1e8,https://youtu.be/OCU4UgBBwJ4?si=p_cCF23D3kaCQ1e8,,FALSE,,,2025/06/25,HEROES,佐伯イッテツ、赤城ウェン、宇佐美リト、緋八マナ、星導ショウ、叢雲カゲツ、小柳ロウ、伊波ライ、Yu Q. Wilson、Vantacrow Bringer、Vezalius Bandage,,,男性ユニット,FALSE,TRUE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peek a boo,https://youtu.be/YnSZulXlV6A?si=teE2VbnO1vuhS5yA,https://youtu.be/YnSZulXlV6A?si=teE2VbnO1vuhS5yA,,TRUE,,,2025/06/26,,Kotoka Torahime,,,女性ソロ,FALSE,FALSE,FALSE,TRUE,作曲：弦月藤士郎,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヤキツキ,https://youtu.be/dPHWd5-vUDo?si=Z26mEHIhkU0Q2ulC,https://youtu.be/dPHWd5-vUDo?si=Z26mEHIhkU0Q2ulC,,TRUE,,,2025/06/30,,緋八マナ,,,男性ソロ,FALSE,FALSE,FALSE,TRUE,作詞：内緒のピアス、緋八マナ,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://linkco.re/Tcf9UY4z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【Cover】Arc goes oN (Live ver Singin' in the Rainbow! at Yokohama),https://youtu.be/CW2U4CeNbtQ?si=U2uTIUaeDc0amJBE,,,FALSE,,,2025/07/21,,える、叶、ドーラ、花畑チャイカ、社築、本間ひまわり、葛葉,,,男女混合,FALSE,TRUE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://nex-tone.link/A00198431,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.31,https://youtu.be/2PHuxxGkT20?si=v8L6hNNuRbAQBjX2,https://youtu.be/2PHuxxGkT20?si=v8L6hNNuRbAQBjX2,,TRUE,,,2025/07/25,ぱんだ立どじゃ高校,五十嵐梨花、石神のぞみ、ガオン、綺沙良‪、倉持めると、弦月藤士郎、栞葉るり、渚トラウト、一橋綾人、舞元啓介、町田ちま、Millie Parfait、夢追翔、緑仙、ルイス・キャミー,,,男女混合,FALSE,FALSE,FALSE,TRUE,作詞・作曲・編曲：弦月藤士郎,にじさんじ甲子園監督：笹木咲,イラストのみ参加：ソ・ナギ、先斗寧,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winning Game,https://youtu.be/bt7yUVrWtEE?si=aMExNc3uoPrI9Pb0,https://youtu.be/bt7yUVrWtEE?si=aMExNc3uoPrI9Pb0,,TRUE,,,2025/08/17,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,TRUE,作詞・作曲：甲斐田晴,編曲：弦月藤士郎、ナツメ ユウキ,にじさんじ甲子園監督：レオス・ヴィンセント,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,180,,,5,22.5,,,12.5,,,30,,,,,,,,,,,20,,5,1,30,18,90,
【Cover】虹色のPuddle,https://youtu.be/DvDVY7nXVco?si=e9ROPfh8QzZXUdv4,https://youtu.be/DvDVY7nXVco?si=e9ROPfh8QzZXUdv4,,FALSE,,,2025/08/24,,ジョー・力一、甲斐田晴、弦月藤士郎、長尾景、セラフ・ダズルガーデン、風楽奏斗、宇佐美リト、緋八マナ、伊波ライ、ミラン・ケストレル、北見遊征、榊ネス、酒寄颯馬、渚トラウト,,,男性ユニット,FALSE,TRUE,TRUE,FALSE,企画：#にじ漢歌祭り ,,,,FALSE,,,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
モンゴルのうた,https://youtu.be/iT3sFI7gib4?si=RACSfh_yuTByALC_&t=1890,,,FALSE,,,2025/08/28,ROF-MAO,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,,,男性ユニット,FALSE,FALSE,FALSE,TRUE,作詞・作曲：甲斐田晴,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,https://youtu.be/iT3sFI7gib4?si=RACSfh_yuTByALC_&t=1890,https://youtu.be/mIHW9YO1eWY?t=4792&si=hf1vq2A8HGa95LJF,,,,203,,,,,,,12.5,,,12.5,,,,,,,,,,7.5,7.5,20,5,0,20,12,60,
