曲名,サムネ用リンク,公開日,歌唱,ユニット,男女,備考,備考2,備考3,MV公開,MVリンク,3Dリンク,踊ろう！,振付リンク,振付リンク2,ライバー自身が制作（作曲・イラスト等）,ファンメイド,オンラインライブ等で披露済,カラオケ（DAM）,カラオケ（JOYSOUND）,フィジカルCDリリース,デジタルリリース,サブスクリンク,独特なコーレス,3Dリンク2,3Dリンク3,メモ2,Shortsリンク,その他リンク,その他2,その他3,説明1,メモ3,BPM,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・ハッピー,可愛い・ポップな,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用,
終点,https://youtu.be/RYWjdxPgyhw?si=3D-YTvYXl7wZl9fW,2024/02/14,甲斐田晴,,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://nex-tone.link/A00135047,FALSE,,,,,,,,,,150,,10,,,,,,,,,,10,40,,20,,20,,5,1,40,20,100,
率直,https://youtu.be/KV9aWbia0js?si=TqBngkkMsMY99VlS,2024/02/14,甲斐田晴,,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://nex-tone.link/A00135047,FALSE,,,,,,,,,,164,,,,,,25,,50,,,,,,,,25,,,3,3,50,33.33333333,100,
一瞬と一生,https://youtu.be/kIs2sBxujss?si=EBap8t5U_RrXhAgS,2024/02/14,甲斐田晴,,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://nex-tone.link/A00135047,FALSE,,,,,,,,,,200,,,,10,,,,,,,,,25,50,,,15,,4,2,50,25,100,
この場所で,https://youtu.be/trQQv_5enC8?si=EwHx80MRTEomGjOe,2024/02/14,甲斐田晴,,男性,,,,TRUE,https://youtu.be/trQQv_5enC8?si=EwHx80MRTEomGjOe,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://nex-tone.link/A00135047,FALSE,,,,,,,,,,214,,,,,,45,10,20,,,,,,,,25,,,4,2,45,25,100,
素顔のままでいて,https://youtu.be/7N9CBFIzMhA?si=Xw_iLlkte9yBykBz,2024/02/14,甲斐田晴,,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://nex-tone.link/A00135047,FALSE,,,,,,,,,,220,,5,,,,,,,,50,,40,,,,5,,,4,2,50,25,100,
黎明の轍,https://youtu.be/IUCePEKB8dE?si=le0n8JBwTYY8m5BB,2024/02/25,長尾景、弦月藤士郎、甲斐田晴,VΔLZ,男性,,,,TRUE,https://youtu.be/IUCePEKB8dE?si=le0n8JBwTYY8m5BB,https://youtu.be/ixl0scGanGU?si=GkWAapVyg1EFlc58,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://nex-tone.link/A00153519,FALSE,https://www.youtube.com/live/rAQAIGKXtnQ?si=dGo5UYLQLgoZZ8bb&t=1602,https://www.youtube.com/live/qdQtHY34W08?si=t-w1ucJRC0VqWSmt&t=282,5周年,,,,,ストーリーコンテンツ『桜魔大戦譚 ～相対するモノたちへ～』のテーマ曲。,,190,,,5,15,,,,,,,25,,25,30,,,,,5,3,30,20,100,
才能が無いから何だ,https://youtu.be/pmnk1EPoMXs?si=VWHuhqsvC5rRxpo9,2024/04/05,甲斐田晴,,男性,,,,TRUE,https://youtu.be/pmnk1EPoMXs?si=VWHuhqsvC5rRxpo9,,FALSE,,,FALSE,FALSE,,,,FALSE,TRUE,https://linkco.re/dUptry6v,TRUE,,,,,,,,,,185,,,,40,,,,,,,,,,10,,10,40,,4,2,40,25,100,
Hands Up,https://youtu.be/AptfgFp8ui0?si=GRgyb61_LrOCSk7N,2024/04/21,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,TRUE,,https://youtu.be/AptfgFp8ui0?si=GRgyb61_LrOCSk7N,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/diveinID,FALSE,,,,,,,,,,174,,,25,5,,30,,25,,,,,,,,,15,,5,3,30,20,100,
青春応歌,https://youtu.be/_QlaA-RG7Lk?si=fHa6ChAFqvwL1oSH,2024/05/24,長尾景、弦月藤士郎、甲斐田晴,VΔLZ,男性,,,,TRUE,https://youtu.be/_QlaA-RG7Lk?si=fHa6ChAFqvwL1oSH,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://nex-tone.link/A00153519,TRUE,https://www.youtube.com/live/rAQAIGKXtnQ?si=s3Ghe_W60qPEw-SG&t=1808,https://www.youtube.com/live/qdQtHY34W08?si=dp1s0Jt2nY3IlsLv&t=4290,5周年,,,,,応援のメッセージが込められた、ミドルテンポなロックナンバー。,,125,,,30,35,,5,,,,,30,,,,,,,,4,3,35,25,100,
DAY BY DAY,https://youtu.be/JvG08iOUB1A?si=_WKnJDIXIYRhG40C,2024/06/05,長尾景、弦月藤士郎、甲斐田晴,VΔLZ,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://nex-tone.link/A00153519,FALSE,https://www.youtube.com/live/rAQAIGKXtnQ?si=dQ0qCflaB761d2jZ&t=2777,,,,,,,スイング感がありつつ、シンプルな3声ハモリが映える楽曲。,,95,,10,,,,15,,10,,,,12.5,,,,25,27.5,,6,2,27.5,16.66666667,100,
